"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.89","52.18","RED DEER A","3025480","2013-01-01","2013","01","01","","-0.2","","-10.5","","-5.4","","23.4","","0.0","","0.0","","0.0","","0.0","","24","","31","","41",""
"-113.89","52.18","RED DEER A","3025480","2013-01-02","2013","01","02","","-4.5","","-17.5","","-11.0","","29.0","","0.0","","0.0","","0.0","","0.0","","24","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-03","2013","01","03","","1.0","","-14.5","","-6.8","","24.8","","0.0","","0.0","","0.0","","0.0","","24","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-04","2013","01","04","","-3.5","","-14.5","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","21","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-05","2013","01","05","","-3.0","","-16.6","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-06","2013","01","06","","-0.4","","-10.1","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","18","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-07","2013","01","07","","-4.7","","-19.0","","-11.9","","29.9","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-08","2013","01","08","","-1.6","","-13.2","","-7.4","","25.4","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-09","2013","01","09","","-2.3","","-11.9","","-7.1","","25.1","","0.0","","0.0","","3.2","","2.8","","17","","34","","33",""
"-113.89","52.18","RED DEER A","3025480","2013-01-10","2013","01","10","","-6.1","","-17.2","","-11.7","","29.7","","0.0","","0.0","","3.2","","1.6","","21","","35","","37",""
"-113.89","52.18","RED DEER A","3025480","2013-01-11","2013","01","11","","-16.6","","-27.9","","-22.3","","40.3","","0.0","","0.0","","0.0","T","0.0","T","23","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-12","2013","01","12","","-8.8","","-27.9","","-18.4","","36.4","","0.0","","0.0","","0.0","T","0.0","T","23","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-13","2013","01","13","","-7.8","","-12.6","","-10.2","","28.2","","0.0","","0.0","","0.8","","0.4","","23","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-14","2013","01","14","","5.2","","-10.7","","-2.8","","20.8","","0.0","","0.0","","4.8","","3.8","","24","","32","","56",""
"-113.89","52.18","RED DEER A","3025480","2013-01-15","2013","01","15","","8.3","","-0.3","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","29","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-16","2013","01","16","","8.0","","-0.9","","3.6","","14.4","","0.0","","0.0","","0.4","","0.4","","26","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-17","2013","01","17","","4.8","","-8.6","","-1.9","","19.9","","0.0","","0.0","","0.0","T","0.0","T","22","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-18","2013","01","18","","4.3","","-5.7","","-0.7","","18.7","","0.0","","0.0","","0.0","T","0.0","T","21","","36","","39",""
"-113.89","52.18","RED DEER A","3025480","2013-01-19","2013","01","19","","-4.1","","-13.7","","-8.9","","26.9","","0.0","","0.0","","2.0","","1.6","","19","","36","","65",""
"-113.89","52.18","RED DEER A","3025480","2013-01-20","2013","01","20","","-13.5","","-19.4","","-16.5","","34.5","","0.0","","0.0","","2.2","","1.0","","22","","1","","37",""
"-113.89","52.18","RED DEER A","3025480","2013-01-21","2013","01","21","","-12.4","","-17.4","","-14.9","","32.9","","0.0","","0.0","","0.4","","0.2","","24","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-22","2013","01","22","","-9.7","","-17.5","","-13.6","","31.6","","0.0","","0.0","","0.0","T","0.0","T","24","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-23","2013","01","23","","-12.1","","-14.2","","-13.2","","31.2","","0.0","","0.0","","1.4","","0.8","","24","","14","","39",""
"-113.89","52.18","RED DEER A","3025480","2013-01-24","2013","01","24","","-0.3","","-13.6","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","25","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-25","2013","01","25","","-2.3","","-14.9","","-8.6","","26.6","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-26","2013","01","26","","-5.6","","-19.1","","-12.4","","30.4","","0.0","","0.0","","0.0","","0.0","","22","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-27","2013","01","27","","-0.1","","-19.0","","-9.6","","27.6","","0.0","","0.0","","0.0","","0.0","","22","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-28","2013","01","28","","-4.7","","-20.6","","-12.7","","30.7","","0.0","","0.0","","0.0","T","0.0","T","22","","1","","37",""
"-113.89","52.18","RED DEER A","3025480","2013-01-29","2013","01","29","","-16.0","","-26.1","","-21.1","","39.1","","0.0","","0.0","","1.2","","1.2","","23","","33","","52",""
"-113.89","52.18","RED DEER A","3025480","2013-01-30","2013","01","30","","-17.6","","-22.1","","-19.9","","37.9","","0.0","","0.0","","10.4","","6.2","","26","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-01-31","2013","01","31","","-0.8","","-20.1","","-10.5","","28.5","","0.0","","0.0","","0.4","","0.2","","31","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-02-01","2013","02","01","","3.5","","-8.1","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","31","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-02-02","2013","02","02","","2.4","","-7.6","","-2.6","","20.6","","0.0","","0.0","","0.0","T","0.0","T","29","","32","","35",""
"-113.89","52.18","RED DEER A","3025480","2013-02-03","2013","02","03","","4.4","","-7.3","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","23","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2013-02-04","2013","02","04","","3.4","","-15.6","","-6.1","","24.1","","0.0","","0.0","","0.0","T","0.0","T","22","","34","","46",""
