"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-01","2019","01","01","","1.8","","-17.6","","-7.9","","25.9","","0.0","","","M","","M","","M","","","","M","","M"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-02","2019","01","02","","7.6","","-3.6","","2.0","","16.0","","0.0","","","M","","M","","M","","","","M","","M"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-03","2019","01","03","","4.8","","-9.2","","-2.2","","20.2","","0.0","","","M","","M","","M","","","","M","","M"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-04","2019","01","04","","-4.1","","-11.7","","-7.9","","25.9","","0.0","","","M","","M","","M","","","","M","","M"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-05","2019","01","05","","-5.3","","-7.4","","-6.4","","24.4","","0.0","","","M","","M","","M","","","","M","","M"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-06","2019","01","06","","-4.8","","-7.7","","-6.3","","24.3","","0.0","","","M","","M","","M","","","","M","","M"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-07","2019","01","07","","-5.9","","-16.3","","-11.1","","29.1","","0.0","","","M","","M","","M","","","","M","","M"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-08","2019","01","08","","-8.8","","-24.2","","-16.5","","34.5","","0.0","","","M","","M","","M","","","","M","","M"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-09","2019","01","09","","-8.9","","-14.7","","-11.8","","29.8","","0.0","","","M","","M","","M","","","","M","","M"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-10","2019","01","10","","-10.2","","-17.2","","-13.7","","31.7","","0.0","","","M","","M","","M","","","","M","","M"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-11","2019","01","11","","-2.6","","-16.0","","-9.3","","27.3","","0.0","","","M","","M","","M","","","","M","","M"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-12","2019","01","12","","-0.5","","-12.6","","-6.6","","24.6","","0.0","","","M","","M","","M","","","","M","","M"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-13","2019","01","13","","-0.7","","-13.4","","-7.1","","25.1","","0.0","","","M","","M","","M","","","","M","","M"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-14","2019","01","14","","-2.4","","-14.2","","-8.3","","26.3","","0.0","","","M","","M","","M","","","","M","","M"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-15","2019","01","15","","-3.9","","-15.6","","-9.8","","27.8","","0.0","","","M","","M","","M","","","","M","","M"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-16","2019","01","16","","-6.8","","-12.1","","-9.5","","27.5","","0.0","","","M","","M","","M","","","","M","","M"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-17","2019","01","17","","-12.2","","-16.8","","-14.5","","32.5","","0.0","","","M","","M","","M","","","","M","","M"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-18","2019","01","18","","-14.4","","-16.8","","-15.6","","33.6","","0.0","","","M","","M","","M","","","","M","","M"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2019-01-19","2019","01","19","","-12.4","","-17.2","","-14.8","","32.8","","0.0","","","M","","M","","M","","","","M","","M"
