"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-01","2015","01","01","","3.9","","-0.6","","1.7","","16.3","","0.0","","0.0","","0.0","T","0.0","T","5","","31","","39",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-02","2015","01","02","","-0.6","","-19.8","","-10.2","","28.2","","0.0","","0.0","","5.4","","3.8","","6","","2","","41",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-03","2015","01","03","","-19.2","","-28.1","","-23.7","","41.7","","0.0","","0.0","","1.8","","1.2","","8","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-04","2015","01","04","","-18.7","","-32.2","","-25.5","","43.5","","0.0","","0.0","","0.2","","0.0","T","9","","16","","37",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-05","2015","01","05","","-15.3","","-22.7","","-19.0","","37.0","","0.0","","0.0","","2.4","","2.0","","11","","15","","33",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-06","2015","01","06","","-14.6","","-18.9","","-16.8","","34.8","","0.0","","0.0","","7.4","","5.4","","13","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-07","2015","01","07","","-1.4","","-19.0","","-10.2","","28.2","","0.0","","0.0","","1.8","","1.4","","15","","35","","63",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-08","2015","01","08","","-9.6","","-26.7","","-18.2","","36.2","","0.0","","0.0","","2.0","","1.4","","20","","32","","69",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-09","2015","01","09","","-6.2","","-27.1","","-16.7","","34.7","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-10","2015","01","10","","-6.3","","-13.6","","-9.9","","27.9","","0.0","","0.0","","2.8","","2.8","","20","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-11","2015","01","11","","-13.6","","-23.1","","-18.4","","36.4","","0.0","","0.0","","0.0","T","0.0","T","22","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-12","2015","01","12","","-11.6","","-23.2","","-17.4","","35.4","","0.0","","0.0","","0.0","","0.0","","","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-13","2015","01","13","","0.2","","-17.1","","-8.5","","26.5","","0.0","","0.0","","0.0","","0.0","","22","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-14","2015","01","14","","4.2","","-9.9","","-2.9","","20.9","","0.0","","0.0","","0.0","","0.0","","22","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-15","2015","01","15","","-1.2","","-10.6","","-5.9","","23.9","","0.0","","0.0","","0.0","","0.0","","20","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-16","2015","01","16","","6.0","","-7.2","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","T","19","","33","","67",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-17","2015","01","17","","0.2","","-12.2","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-18","2015","01","18","","0.9","","-13.9","","-6.5","","24.5","","0.0","","0.0","T","0.0","","0.0","T","17","","28","","52",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-19","2015","01","19","","3.7","","-6.6","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","16","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-20","2015","01","20","","-1.1","","-12.8","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","14","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2015-01-21","2015","01","21","","1.3","","-14.5","","-6.6","","24.6","","0.0","","0.4","","0.0","","0.4","","14","","","","<31",""
