"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.89","52.18","RED DEER A","3025480","2010-01-01","2010","01","01","","-14.1","","-25.7","","-19.9","","37.9","","0.0","","0.0","","0.4","","0.4","","34","","17","","46",""
"-113.89","52.18","RED DEER A","3025480","2010-01-02","2010","01","02","","-13.8","","-19.5","","-16.7","","34.7","","0.0","","0.0","","0.0","","0.0","","34","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2010-01-03","2010","01","03","","-9.6","","-17.1","","-13.4","","31.4","","0.0","","0.0","","0.0","T","0.0","T","34","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2010-01-04","2010","01","04","","-10.5","","-13.2","","-11.9","","29.9","","0.0","","0.0","","0.0","T","0.0","T","33","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2010-01-05","2010","01","05","","-12.8","","-26.9","","-19.9","","37.9","","0.0","","0.0","","5.8","","2.0","","34","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2010-01-06","2010","01","06","","-17.0","","-25.6","","-21.3","","39.3","","0.0","","0.0","","0.0","T","0.0","T","33","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2010-01-07","2010","01","07","","-14.9","","-25.5","","-20.2","","38.2","","0.0","","0.0","","0.0","T","0.0","T","32","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2010-01-08","2010","01","08","","-4.9","","-21.9","","-13.4","","31.4","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2010-01-09","2010","01","09","","3.8","","-10.4","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","25","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2010-01-10","2010","01","10","","3.2","","-7.7","","-2.3","","20.3","","0.0","","0.0","","0.0","","0.0","","22","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2010-01-11","2010","01","11","","7.6","","-0.1","","3.8","","14.2","","0.0","","0.0","T","0.0","","0.0","T","22","","22","","37",""
"-113.89","52.18","RED DEER A","3025480","2010-01-12","2010","01","12","","8.1","","1.7","","4.9","","13.1","","0.0","","0.0","T","0.0","","0.0","T","13","","","","<31",""
