"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.89","52.18","RED DEER REGIONAL A","3025481","2016-01-01","2016","01","01","","-6.8","","-20.5","","-13.7","","31.7","","0.0","","0.0","","0.0","","0.0","","16","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2016-01-02","2016","01","02","","-8.5","","-21.9","","-15.2","","33.2","","0.0","","0.0","","0.0","","0.0","","16","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2016-01-03","2016","01","03","","-8.5","","-21.1","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","16","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2016-01-04","2016","01","04","","-5.8","","-20.2","","-13.0","","31.0","","0.0","","0.0","","0.0","","0.0","","16","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2016-01-05","2016","01","05","","-8.9","","-18.9","","-13.9","","31.9","","0.0","","0.0","","0.0","","0.0","","14","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2016-01-06","2016","01","06","","-11.4","","-22.7","","-17.1","","35.1","","0.0","","0.0","","0.0","T","0.0","T","14","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2016-01-07","2016","01","07","","-9.9","","-12.9","","-11.4","","29.4","","0.0","","0.0","","2.4","","2.4","","15","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2016-01-08","2016","01","08","","-12.9","","-20.9","","-16.9","","34.9","","0.0","","0.0","","0.8","","0.6","","19","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2016-01-09","2016","01","09","","-19.6","","-29.8","","-24.7","","42.7","","0.0","","0.0","","0.0","T","0.0","T","19","","","","<31",""
"-113.89","52.18","RED DEER REGIONAL A","3025481","2016-01-10","2016","01","10","","-2.4","","-28.1","","-15.3","","33.3","","0.0","","0.0","","0.0","","0.0","","19","","","","<31",""
