"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.89","52.18","RED DEER A","3025480","2011-01-01","2011","01","01","","-1.0","","-20.5","","-10.8","","28.8","","0.0","","0.0","","0.4","","0.2","","13","","31","","56",""
"-113.89","52.18","RED DEER A","3025480","2011-01-02","2011","01","02","","-1.0","","-11.0","","-6.0","","24.0","","0.0","","0.0","","0.4","","0.4","","13","","30","","41",""
"-113.89","52.18","RED DEER A","3025480","2011-01-03","2011","01","03","","-2.2","","-14.0","","-8.1","","26.1","","0.0","","0.0","","0.0","","0.0","","14","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-04","2011","01","04","","-2.2","","-14.4","","-8.3","","26.3","","0.0","","0.0","","2.2","","1.2","","14","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-05","2011","01","05","","-1.0","","-12.0","","-6.5","","24.5","","0.0","","0.0","","0.4","","0.4","","16","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-06","2011","01","06","","1.5","","-13.7","","-6.1","","24.1","","0.0","","0.0","","0.0","","0.0","","2","","35","","37",""
"-113.89","52.18","RED DEER A","3025480","2011-01-07","2011","01","07","","-3.4","","-11.9","","-7.7","","25.7","","0.0","","0.0","","0.0","T","0.0","T","20","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-08","2011","01","08","","-5.0","","-14.8","","-9.9","","27.9","","0.0","","0.0","","5.6","","4.6","","20","","32","","56",""
"-113.89","52.18","RED DEER A","3025480","2011-01-09","2011","01","09","","-14.8","","-16.6","","-15.7","","33.7","","0.0","","0.0","","2.0","","1.6","","28","","31","","46",""
"-113.89","52.18","RED DEER A","3025480","2011-01-10","2011","01","10","","-16.5","","-26.5","","-21.5","","39.5","","0.0","","0.0","","0.4","","0.4","","29","","32","","33",""
"-113.89","52.18","RED DEER A","3025480","2011-01-11","2011","01","11","","-20.3","","-29.1","","-24.7","","42.7","","0.0","","0.0","","0.0","T","0.0","T","29","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-12","2011","01","12","","-20.7","","-29.9","","-25.3","","43.3","","0.0","","0.0","","2.4","","1.8","","29","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-13","2011","01","13","","-20.5","","-23.1","","-21.8","","39.8","","0.0","","0.0","","5.0","","2.6","","32","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-14","2011","01","14","","-23.0","","-25.3","","-24.2","","42.2","","0.0","","0.0","","8.6","","6.4","","39","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-15","2011","01","15","","-21.2","","-25.3","","-23.3","","41.3","","0.0","","0.0","T","0.0","","0.0","T","46","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-16","2011","01","16","","-20.2","","-22.5","","-21.4","","39.4","","0.0","","0.0","","0.6","","0.6","","46","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-17","2011","01","17","","-14.5","","-24.1","","-19.3","","37.3","","0.0","","0.0","","0.0","T","0.0","T","47","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-18","2011","01","18","","-5.6","","-21.3","","-13.5","","31.5","","0.0","","0.0","","0.0","","0.0","","47","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-19","2011","01","19","","-6.2","","-15.8","","-11.0","","29.0","","0.0","","0.0","","2.6","","1.0","","47","","28","","32",""
"-113.89","52.18","RED DEER A","3025480","2011-01-20","2011","01","20","","1.5","","-13.7","","-6.1","","24.1","","0.0","","0.0","","0.6","","0.2","","48","","16","","43",""
"-113.89","52.18","RED DEER A","3025480","2011-01-21","2011","01","21","","1.5","","-10.2","","-4.4","","22.4","","0.0","","0.0","","0.0","T","0.0","T","46","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-22","2011","01","22","","1.1","","-11.4","","-5.2","","23.2","","0.0","","0.0","","0.0","","0.0","","45","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-23","2011","01","23","","4.1","","-10.8","","-3.4","","21.4","","0.0","","0.0","","0.0","","0.0","","43","","30","","59",""
"-113.89","52.18","RED DEER A","3025480","2011-01-24","2011","01","24","","1.1","","-14.5","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","40","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-25","2011","01","25","","3.3","","-9.3","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","37","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-26","2011","01","26","","4.3","","-7.4","","-1.6","","19.6","","0.0","","0.0","","0.0","","0.0","","37","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-27","2011","01","27","","9.6","","-5.3","","2.2","","15.8","","0.0","","0.0","","0.0","","0.0","","35","","35","","56",""
"-113.89","52.18","RED DEER A","3025480","2011-01-28","2011","01","28","","2.9","","-11.6","","-4.4","","22.4","","0.0","","0.0","","4.8","","4.0","","30","","31","","37",""
"-113.89","52.18","RED DEER A","3025480","2011-01-29","2011","01","29","","-10.8","","-18.2","","-14.5","","32.5","","0.0","","0.0","","5.6","","5.2","","37","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-30","2011","01","30","","-18.2","","-31.7","","-25.0","","43.0","","0.0","","0.0","","1.2","","1.0","","37","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-01-31","2011","01","31","","-23.2","","-37.2","","-30.2","","48.2","","0.0","","0.0","","0.0","T","0.0","T","42","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-02-01","2011","02","01","","-15.7","","-32.3","","-24.0","","42.0","","0.0","","0.0","","0.0","T","0.0","T","42","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-02-02","2011","02","02","","2.5","","-19.8","","-8.7","","26.7","","0.0","","0.0","","0.0","","0.0","","42","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-02-03","2011","02","03","","5.1","","-10.3","","-2.6","","20.6","","0.0","","0.0","","0.0","","0.0","","41","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-02-04","2011","02","04","","7.1","","-2.9","","2.1","","15.9","","0.0","","0.6","","0.0","T","0.6","","38","","29","","43",""
"-113.89","52.18","RED DEER A","3025480","2011-02-05","2011","02","05","","3.5","","-11.5","","-4.0","","22.0","","0.0","","0.0","","0.6","","0.6","","31","","33","","65",""
"-113.89","52.18","RED DEER A","3025480","2011-02-06","2011","02","06","","-10.8","","-15.7","","-13.3","","31.3","","0.0","","0.0","","0.0","T","0.0","T","30","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-02-07","2011","02","07","","-13.0","","-27.5","","-20.3","","38.3","","0.0","","0.0","","2.6","","2.4","","31","","12","","33",""
"-113.89","52.18","RED DEER A","3025480","2011-02-08","2011","02","08","","-13.4","","-31.9","","-22.7","","40.7","","0.0","","0.0","","0.0","T","0.0","T","32","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-02-09","2011","02","09","","-3.0","","-28.7","","-15.9","","33.9","","0.0","","0.0","","0.0","","0.0","","32","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-02-10","2011","02","10","","3.3","","-3.3","","0.0","","18.0","","0.0","","0.0","","1.4","","1.0","","33","","29","","46",""
"-113.89","52.18","RED DEER A","3025480","2011-02-11","2011","02","11","","3.4","","-4.5","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","32","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-02-12","2011","02","12","","6.8","","-4.7","","1.1","","16.9","","0.0","","0.0","","0.0","","0.0","","30","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-02-13","2011","02","13","","4.0","","-5.8","","-0.9","","18.9","","0.0","","0.0","","0.0","T","0.0","T","26","","29","","93",""
"-113.89","52.18","RED DEER A","3025480","2011-02-14","2011","02","14","","2.4","","-5.7","","-1.7","","19.7","","0.0","","0.0","","0.0","","0.0","","26","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-02-15","2011","02","15","","4.8","","-10.8","","-3.0","","21.0","","0.0","","0.0","","0.0","T","0.0","T","26","","18","","41",""
"-113.89","52.18","RED DEER A","3025480","2011-02-16","2011","02","16","","-10.8","","-20.9","","-15.9","","33.9","","0.0","","0.0","","2.4","","2.2","","26","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-02-17","2011","02","17","","-20.0","","-27.3","","-23.7","","41.7","","0.0","","0.0","T","0.0","","0.0","T","28","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-02-18","2011","02","18","","-19.0","","-29.5","","-24.3","","42.3","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-02-19","2011","02","19","","-18.1","","-30.9","","-24.5","","42.5","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-02-20","2011","02","20","","-12.7","","-24.6","","-18.7","","36.7","","0.0","","0.0","","0.0","","0.0","","28","","14","","50",""
"-113.89","52.18","RED DEER A","3025480","2011-02-21","2011","02","21","","-4.6","","-25.0","","-14.8","","32.8","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-02-22","2011","02","22","","-6.8","","-16.9","","-11.9","","29.9","","0.0","","0.0","","0.8","","0.4","","28","","32","","37",""
"-113.89","52.18","RED DEER A","3025480","2011-02-23","2011","02","23","","-14.5","","-24.4","","-19.5","","37.5","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-02-24","2011","02","24","","-20.8","","-31.6","","-26.2","","44.2","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-02-25","2011","02","25","","-12.2","","-34.0","","-23.1","","41.1","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-02-26","2011","02","26","","-4.2","","-20.1","","-12.2","","30.2","","0.0","","0.0","","5.0","","3.4","","28","","29","","50",""
"-113.89","52.18","RED DEER A","3025480","2011-02-27","2011","02","27","","-5.4","","-18.7","","-12.1","","30.1","","0.0","","0.0","","1.4","","0.8","","33","","1","","37",""
"-113.89","52.18","RED DEER A","3025480","2011-02-28","2011","02","28","","-18.7","","-33.3","","-26.0","","44.0","","0.0","","0.0","","3.8","","3.4","","37","","36","","33",""
"-113.89","52.18","RED DEER A","3025480","2011-03-01","2011","03","01","","-22.9","","-36.7","","-29.8","","47.8","","0.0","","0.0","","0.0","","0.0","","39","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-03-02","2011","03","02","","-19.4","","-25.9","","-22.7","","40.7","","0.0","","0.0","","1.0","","1.0","","39","","12","","37",""
"-113.89","52.18","RED DEER A","3025480","2011-03-03","2011","03","03","","-15.8","","-25.3","","-20.6","","38.6","","0.0","","0.0","","0.0","T","0.0","T","36","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-03-04","2011","03","04","","-15.9","","-27.2","","-21.6","","39.6","","0.0","","0.0","","0.6","","0.4","","36","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-03-05","2011","03","05","","-16.0","","-20.9","","-18.5","","36.5","","0.0","","0.0","","1.4","","0.8","","36","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-03-06","2011","03","06","","-15.8","","-26.2","","-21.0","","39.0","","0.0","","0.0","","0.8","","0.8","","37","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-03-07","2011","03","07","","-15.0","","-27.1","","-21.1","","39.1","","0.0","","0.0","","0.0","T","0.0","T","37","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-03-08","2011","03","08","","-9.0","","-27.2","","-18.1","","36.1","","0.0","","0.0","","0.0","","0.0","","37","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-03-09","2011","03","09","","1.3","","-23.6","","-11.2","","29.2","","0.0","","0.0","","0.0","","0.0","","36","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-03-10","2011","03","10","","1.1","","-14.7","","-6.8","","24.8","","0.0","","0.0","","0.0","T","0.0","T","36","","35","","33",""
"-113.89","52.18","RED DEER A","3025480","2011-03-11","2011","03","11","","-12.9","","-19.9","","-16.4","","34.4","","0.0","","0.0","","0.0","T","0.0","T","36","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-03-12","2011","03","12","","-3.4","","-19.1","","-11.3","","29.3","","0.0","","0.0","","0.0","","0.0","","35","","14","","32",""
"-113.89","52.18","RED DEER A","3025480","2011-03-13","2011","03","13","","6.3","","-12.4","","-3.1","","21.1","","0.0","","0.0","","0.0","","0.0","","35","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-03-14","2011","03","14","","8.5","","-1.0","","3.8","","14.2","","0.0","","0.0","T","0.0","","0.0","T","30","","30","","37",""
"-113.89","52.18","RED DEER A","3025480","2011-03-15","2011","03","15","","4.4","","-8.6","","-2.1","","20.1","","0.0","","0.0","","0.0","","0.0","","26","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-03-16","2011","03","16","","-0.9","","-6.1","","-3.5","","21.5","","0.0","","0.0","","0.2","","0.2","","25","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-03-17","2011","03","17","","2.6","","-7.4","","-2.4","","20.4","","0.0","","0.0","","7.6","","6.8","","28","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-03-18","2011","03","18","","2.3","","-13.3","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","30","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-03-19","2011","03","19","","1.4","","-9.0","","-3.8","","21.8","","0.0","","0.0","","0.0","","0.0","","29","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2011-03-20","2011","03","20","","-3.2","","-7.7","","-5.5","","23.5","","0.0","","0.0","","7.6","","7.0","","32","","","","<31",""
