"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.89","52.18","RED DEER A","3025480","2008-01-01","2008","01","01","","-6.9","","-23.5","","-15.2","","33.2","","0.0","","0.0","","0.0","","0.0","","3","","18","","57",""
"-113.89","52.18","RED DEER A","3025480","2008-01-02","2008","01","02","","6.0","","-7.2","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","3","","17","","46",""
"-113.89","52.18","RED DEER A","3025480","2008-01-03","2008","01","03","","3.3","","-11.3","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","3","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2008-01-04","2008","01","04","","4.5","","-8.2","","-1.9","","19.9","","0.0","","0.0","","0.0","","0.0","","3","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2008-01-05","2008","01","05","","2.6","","-7.5","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2008-01-06","2008","01","06","","1.6","","-12.6","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2008-01-07","2008","01","07","","-1.4","","-18.2","","-9.8","","27.8","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2008-01-08","2008","01","08","","-8.6","","-21.7","","-15.2","","33.2","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2008-01-09","2008","01","09","","-6.3","","-20.3","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2008-01-10","2008","01","10","","-3.6","","-19.3","","-11.5","","29.5","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2008-01-11","2008","01","11","","-0.6","","-13.6","","-7.1","","25.1","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
