"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.89","52.18","RED DEER A","3025480","2012-01-01","2012","01","01","","-4.4","","-21.8","","-13.1","","31.1","","0.0","","0.0","","0.0","","0.0","","8","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2012-01-02","2012","01","02","","7.4","","-5.8","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","8","","21","","33",""
"-113.89","52.18","RED DEER A","3025480","2012-01-03","2012","01","03","","5.9","","-7.4","","-0.8","","18.8","","0.0","","0.0","","0.0","","0.0","","6","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2012-01-04","2012","01","04","","10.2","","-4.0","","3.1","","14.9","","0.0","","0.0","","0.0","","0.0","","5","","23","","37",""
"-113.89","52.18","RED DEER A","3025480","2012-01-05","2012","01","05","","5.8","","-3.2","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","4","","29","","67",""
"-113.89","52.18","RED DEER A","3025480","2012-01-06","2012","01","06","","2.2","","-13.0","","-5.4","","23.4","","0.0","","0.0","","0.0","","0.0","","3","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2012-01-07","2012","01","07","","0.2","","-13.2","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","3","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2012-01-08","2012","01","08","","7.6","","-6.0","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","3","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2012-01-09","2012","01","09","","9.3","","-3.9","","2.7","","15.3","","0.0","","0.0","","0.0","","0.0","","3","","26","","33",""
"-113.89","52.18","RED DEER A","3025480","2012-01-10","2012","01","10","","1.5","","-13.2","","-5.9","","23.9","","0.0","","0.0","","0.4","","0.2","","2","","33","","74",""
"-113.89","52.18","RED DEER A","3025480","2012-01-11","2012","01","11","","-4.0","","-18.2","","-11.1","","29.1","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2012-01-12","2012","01","12","","1.1","","-10.7","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","1","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2012-01-13","2012","01","13","","0.8","","-10.6","","-4.9","","22.9","","0.0","","0.0","","0.4","","0.4","","1","","34","","48",""
"-113.89","52.18","RED DEER A","3025480","2012-01-14","2012","01","14","","-4.6","","-10.9","","-7.8","","25.8","","0.0","","0.0","","0.0","T","0.0","T","1","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2012-01-15","2012","01","15","","-6.5","","-23.5","","-15.0","","33.0","","0.0","","0.0","","3.4","","3.0","","3","","34","","52",""
"-113.89","52.18","RED DEER A","3025480","2012-01-16","2012","01","16","","-22.8","","-30.3","","-26.6","","44.6","","0.0","","0.0","","0.2","","0.2","","4","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2012-01-17","2012","01","17","","-26.9","","-33.4","","-30.2","","48.2","","0.0","","0.0","","0.6","","0.4","","4","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2012-01-18","2012","01","18","","-24.9","","-34.6","","-29.8","","47.8","","0.0","","0.0","","0.0","T","0.0","T","5","","","","<31",""
"-113.89","52.18","RED DEER A","3025480","2012-01-19","2012","01","19","","-20.3","","-30.9","","-25.6","","43.6","","0.0","","0.0","","0.0","","0.0","","5","","","","<31",""
