"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Time Inside 1 Hectare (minutes)","Time Outside 1 Hectare (minutes)","Microhabitat Type","Plot Number","Moss Collected","Lichen Collected"
Rotation 1,1404,2008,12-Jun-08,JBE/KBR,90,0,LH,2,I,I,
Rotation 1,1404,2008,12-Jun-08,JBE/KBR,90,0,LS,1,I,I,
Rotation 1,1404,2008,12-Jun-08,JBE/KBR,90,0,LS,2,I,I,
Rotation 1,1404,2008,12-Jun-08,JBE/KBR,90,0,LS,3,I,I,
Rotation 1,1404,2008,12-Jun-08,JBE/KBR,90,0,TC,1,I,I,
Rotation 1,1404,2008,12-Jun-08,JBE/KBR,90,0,TD,1,I,I,
Rotation 1,1404,2008,12-Jun-08,JBE/KBR,90,0,TD,2,I-NONE,I,
Rotation 1,1404,2008,12-Jun-08,JBE/KBR,90,0,UH,1,I,I-NONE,
Rotation 1,1404,2008,12-Jun-08,JBE/KBR,90,0,UH,2,I,I,
Rotation 1,1404,2008,12-Jun-08,JBE/KBR,90,0,UH,3,I,I-NONE,
Rotation 1,1436,2008,29-May-08,JBE/KBR,70,20,HB,1,O,O,
Rotation 1,1436,2008,29-May-08,JBE/KBR,70,20,MISC,1,I,I-NONE,
Rotation 1,1436,2008,29-May-08,JBE/KBR,70,20,RR,1,I-NONE,I,
Rotation 1,1436,2008,29-May-08,JBE/KBR,70,20,RR,2,I-NONE,I,
Rotation 1,1436,2008,29-May-08,JBE/KBR,70,20,RR,3,I-NONE,I,
Rotation 1,1436,2008,29-May-08,JBE/KBR,70,20,RR,4,I-NONE,I,
Rotation 1,1436,2008,29-May-08,JBE/KBR,70,20,RR,5,I-NONE,I,
Rotation 1,1436,2008,29-May-08,JBE/KBR,70,20,RR,6,I-NONE,I,
Rotation 1,1436,2008,29-May-08,JBE/KBR,70,20,UH,1,I,I,
Rotation 1,1436,2008,29-May-08,JBE/KBR,70,20,UH,2,I,I,
Rotation 1,1436,2008,29-May-08,JBE/KBR,70,20,UH,3,I,I,
Rotation 1,1436,2008,29-May-08,JBE/KBR,70,20,UH,4,I,I,
Rotation 1,1436,2008,29-May-08,JBE/KBR,70,20,UH,5,I,I,
Rotation 1,1436,2008,29-May-08,JBE/KBR,70,20,UH,6,I,I,
