Year,mean_summer_temp_C,total_growing_precip_mm,frost_free_days,spring_temp_anomaly_C
2010,14.391,424.4,136.0,-0.846
2011,14.851,353.0,143.0,-1.386
2012,16.327,354.7,148.0,0.095
2013,15.551,261.2,142.0,-0.338
2014,15.492,371.4,139.0,1.885
2015,15.573,289.4,134.0,0.123
2016,14.3,349.6,,1.683
2017,,204.2,,
2018,15.223,,137.0,-0.655
2019,14.169,,131.0,-0.562
