Year,mean_summer_temp_C,total_growing_precip_mm,frost_free_days,spring_mean_temp_C,spring_temp_anomaly_C
2008,15.027,297.2,138.0,5.708,-1.185
2010,14.391,424.4,136.0,6.179,-0.714
2011,14.851,353.0,143.0,5.639,-1.254
2012,16.327,354.7,148.0,7.12,0.227
2013,15.551,261.2,142.0,6.687,-0.206
2014,15.492,371.4,139.0,8.91,2.017
2015,15.573,289.4,134.0,7.148,0.255
2016,14.3,349.6,,8.708,1.815
2017,,204.2,,,
2018,15.223,,137.0,6.37,-0.523
2019,14.169,,131.0,6.463,-0.43
